Source,Target,n,Weight
___vogel,welt,1,1
__redcat,verraeterin,1,1
_bassb_,focusonline,1,1
_lakra_,tagesschau,1,1
_tee_kah,avorrath,1,1
_tee_kah,cdusachsen,2,2
_tee_kah,fozzybear77,2,2
123blableh,aegisbridge,1,1
123blableh,afd,1,1
123blableh,afdfraktionlsa,1,1
123blableh,benkonietzny,1,1
123blableh,besetzenberlin,1,1
123blableh,bmel,1,1
123blableh,bmu,1,1
123blableh,bundeswehrinfo,1,1
123blableh,bzfe,1,1
123blableh,c,2,2
123blableh,cdu,2,2
123blableh,cm2111,1,1
123blableh,daserste,1,1
123blableh,drlutzm,2,2
123blableh,fdp,1,1
123blableh,goeringeckardt,1,1
123blableh,jochenflasbarth,1,1
123blableh,kapril76,2,2
123blableh,liberale,1,1
123blableh,michael,1,1
123blableh,ndaktuell,2,2
123blableh,neuewelt100,1,1
123blableh,nicolabeerfdp,1,1
123blableh,nicolassustr,1,1
123blableh,ntvde,1,1
123blableh,schafdas,3,3
123blableh,spdde,1,1
123blableh,torsten,1,1
123blableh,ulfposh,1,1
123blableh,volker,1,1
123blableh,welt,4,4
123blableh,wwf,1,1
123blableh,yslape,2,2
123blableh,zdf,1,1
123blableh,zdfheute,1,1
1407jule,jfda,1,1
1407jule,mark,1,1
1407jule,michaelmayer777,1,1
145hanne,aktion,1,1
1hopf,cdu,1,1
1hopf,mdr,1,1
1hopf,polizei,1,1
1hopf,raymond,1,1
1hopf,thuerlandtag,1,1
1stein_,mintpressnews,1,1
1stein_,sarahabed84,1,1
420widrick,piratenagdrogen,1,1
420widrick,tag24ffm,1,1
55janrich,gagaberlin,1,1
55janrich,maludo64,1,1
55janrich,tagesschau,2,2
66freedom66,drguertler,1,1
a_saller,eppgroup,1,1
a_saller,manfredweber,1,1
aangelo_ge,andreanahlesspd,1,1
aangelo_ge,annewill,1,1
aangelo_ge,cducsubt,2,2
aangelo_ge,dieter,1,1
aangelo_ge,insm,2,2
aangelo_ge,libra08101,1,1
aangelo_ge,maybritillner,1,1
aangelo_ge,peeks,1,1
aangelo_ge,spdde,2,2
aangelo_ge,wasistzeitgeist,1,1
abc321xyblabla,fraukepetry,1,1
abc321xyblabla,maxotte,1,1
abc321xyblabla,promeenz,1,1
adam2012,sergiomattarel4,1,1
admirallandwirt,dmsg,1,1
admirallandwirt,petertauber,1,1
adriandanzker,tichyseinblick,1,1
adrianohef,welt,1,1
adventure_ost,cdu,1,1
adventure_ost,noextreme87,1,1
adventure_ost,steinbacherika,1,1
afd_ik_gth,cdu,1,1
afd_ik_gth,mdr,1,1
afd_ik_gth,polizei,1,1
afd_ik_gth,raymond,1,1
afd_ik_gth,raymondwalk,1,1
afd_ik_gth,thuerlandtag,1,1
afd_kabul,faznet,1,1
afd_kabul,matteosalvinimi,1,1
afd_kv_in_ei,vera,1,1
afd_oberhausen,afd,1,1
afd_oberhausen,afdimbundestag,1,1
afd_thieler,cdu,2,2
afd_thieler,cdusprecherin,1,1
afd_thieler,davidermes,1,1
afd_thieler,jfda,1,1
afd_thieler,juedische,1,1
afd_thieler,juedischeonline,1,1
afd_thieler,mikemohring,1,1
agendazukunft,rolandtichy,2,2
agoptron,cdu,2,2
agoptron,daliagrinfeld,1,1
agoptron,jensspahn,2,2
agoptron,jkasek,1,1
agoptron,jsudeutschland,1,1
agoptron,marcobuschmann,1,1
agoptron,mikedelberg,1,1
agoptron,peteraltmaier,1,1
agoptron,richardgrenell,2,2
agoptron,schulzeeuropa,1,1
agoptron,th61,1,1
ahmetautor,annawu,1,1
ahmetautor,polderkeist,1,1
ahmetautor,saltuarius1,1,1
ajlcapape,faznet,1,1
aka_ganymed,anonymusiii,1,1
aka_ganymed,captainkolibri,1,1
aka_ganymed,mittelfinger,1,1
aka_ganymed,sz,1,1
albe992,ralf,1,1
albe992,tsghessen,1,1
alcesmoose,andvaka,1,1
alexe1789,marchenrichmann,1,1
alextwge,ardde,1,1
alextwge,bild,1,1
alextwge,cdu,1,1
alextwge,dushanwegner,1,1
alextwge,georgrestle,1,1
alextwge,linkenberg,1,1
alextwge,zdf,1,1
amazzeppa,berndulrich,1,1
amazzeppa,derfreitag,1,1
amazzeppa,jonasbelling,1,1
amazzeppa,politaeus,1,1
amazzeppa,spdde,1,1
amazzeppa,spiegelonline,1,1
amazzeppa,zeitonline,2,2
amboss88065888,erhardtresch,1,1
amboss88065888,patzina,1,1
amboss88065888,welt,1,1
ameinungham,fifaworldcup,1,1
ameinungham,robinalexander,1,1
ameinungham,welt,1,1
amogermaniam,66freedom66,1,1
amogermaniam,ainyrockstar,1,1
amogermaniam,youtube,1,1
andi_isha1,nicolepunkt,1,1
andrucha89,cducsubt,1,1
andrucha89,faznet,1,1
andrucha89,heikomaas,1,1
andrucha89,spdbt,1,1
andrucha89,welt,1,1
andyger,csu,1,1
antje_kapek,chr1richter,1,1
apoll0x,ralf,1,1
apvogt,apfelrepublik,1,1
apvogt,berlincopa,1,1
apvogt,blaufussmakrele,1,1
apvogt,cathmessy,1,1
apvogt,cdu,1,1
apvogt,dunkeldenk,1,1
apvogt,fdp,1,1
apvogt,jazzlover2017,1,1
apvogt,jedemequality,1,1
apvogt,kirschnerdaniel,1,1
apvogt,l,1,1
apvogt,lawyerberlin,1,1
apvogt,norgeprivacy,1,1
apvogt,tagesspiegel,1,1
apvogt,tspcausa,1,1
aquinate2,drdavidberger,1,1
arichartz,martinschulz,1,1
arminius87,houelle,1,1
arminusb,dushanwegner,1,1
arminusb,webaxvita,1,1
arno_rode,andreanahlesspd,1,1
asansoer35,maxotte,1,1
avorrath,godcoder,1,1
avorrath,tonitwildgrube,1,1
axelhohl,tagesschau,1,1
axorcreex,lawyerberlin,1,1
b_denklich,regsprecher,1,1
b_v_b__1909,jouwatch,1,1
b_v_b__1909,lillyheidelberg,1,1
b_v_b__1909,welt,1,1
babelover10k,ch2ch2ch2ch2ch2,1,1
babelover10k,junge,1,1
backnang,moerle67,1,1
backnang,piratenbw,1,1
bafmw,bernhardwasel,1,1
bafmw,c,1,1
bafmw,fdp,1,1
bafmw,keineafd2017,1,1
balthasara,cdu,1,1
banane0711,mr,1,1
bandee_de,anja,1,1
bandee_de,cdu,1,1
bandee_de,jtrittin,1,1
base_1175,ntvde,1,1
bauer_mdl,cdu,2,2
bb12_de,cdu,1,1
bb12_de,dushanwegner,1,1
bb12_de,junge,1,1
bb12_de,nicolangecdu,1,1
bebone76,m,1,1
bebone76,ntvde,1,1
bebone76,ra,1,1
bendergrosse,heinrich,1,1
berlinchief11,annewill,1,1
berlinerzeitung,franksteffel,1,1
