Target,Source,n,Weight
_amaz1ng,jinksche,1,1
_amaz1ng,kenguru_anmr,1,1
_amaz1ng,pets4cats,1,1
_amaz1ng,tumalwas,1,1
_hugin_,rhodan59,1,1
_jvl,attero_,1,1
_jvl,hrosenhagen,1,1
_jvl,monkeydom_de,1,1
_jvl,noobmithoot,1,1
_jvl,oxenkuehn,1,1
_jvl,tharwan,1,1
_kieselstein,_kieselstein,4,4
_kieselstein,kommandomensch,1,1
_lakra_,donatella091259,1,1
_lakra_,fotobiene,1,1
_lakra_,granata64,1,1
_lakra_,guido_markus,1,1
_lakra_,lopezprimeiro,2,2
_lakra_,tigerelch,1,1
_takakun,beatekiefner,1,1
_takakun,deuxcvsix,1,1
_takakun,goettergatte42,1,1
_takakun,jaquearnoux,1,1
_takakun,piratehonk,1,1
_takakun,rahildebrand,1,1
_takakun,t_e_torres,1,1
_takakun,tobiaswaibel,1,1
123blableh,123blableh,1,1
123blableh,aegisbridge,1,1
123blableh,eckhardt43,1,1
123blableh,erwinhuber11,1,1
123blableh,fk5270,1,1
123blableh,hel16818132,1,1
123blableh,hohenelber,1,1
123blableh,joergius76,1,1
123blableh,kalenk666,1,1
123blableh,karamallemalle,1,1
123blableh,ksdpunkt,1,1
123blableh,lassunsnageln,1,1
123blableh,merkel_stuerzen,1,1
123blableh,palma07001,1,1
123blableh,pluszeit,1,1
123blableh,schafdas,5,5
123blableh,schussel40,1,1
123blableh,sober43785665,1,1
123blableh,theodurst,1,1
123blableh,vonevi,1,1
123blableh,wundi68,1,1
3811015,dontswitch,1,1
3mausimhaus,isidormeyer1,1,1
55janrich,ahoihanseat,1,1
55janrich,annanym2,1,1
55janrich,birdie51411736,1,1
55janrich,deutschland_77,1,1
55janrich,deutschzuerst,1,1
55janrich,eysvog3l,1,1
55janrich,fippchen,1,1
55janrich,frankenzicke,1,1
55janrich,gagaberlin,1,1
55janrich,horstnrw,1,1
55janrich,hrdronline,1,1
55janrich,ina56611,1,1
55janrich,isidormeyer1,1,1
55janrich,j_b_oo7,1,1
55janrich,jato122,1,1
55janrich,karamallemalle,1,1
55janrich,karlschneider1,1,1
55janrich,magirus,1,1
55janrich,marita_fickel,1,1
55janrich,maxdax2018,1,1
55janrich,michael__2018,1,1
55janrich,mrstone0856,1,1
55janrich,patzina_helmut,1,1
55janrich,rstrohmi,2,2
55janrich,safi_sy,1,1
55janrich,sifuroyschirdew,1,1
55janrich,tgoli2,1,1
