Target,Source,n,Weight
_patmurphy_,mdenhoet,1,1
_patmurphy_,roland783,1,1
123blableh,123blableh,1,1
123blableh,aegisbridge,1,1
123blableh,eckhardt43,1,1
123blableh,fk5270,1,1
123blableh,hel16818132,1,1
123blableh,joergius76,1,1
123blableh,kalenk666,1,1
123blableh,karamallemalle,1,1
123blableh,ksdpunkt,1,1
123blableh,lassunsnageln,1,1
123blableh,merkel_stuerzen,1,1
123blableh,palma07001,1,1
123blableh,pluszeit,1,1
123blableh,schafdas,2,2
123blableh,schussel40,1,1
123blableh,theodurst,1,1
123blableh,vonevi,1,1
123blableh,wundi68,1,1
66freedom66,kytti70,1,1
66freedom66,livemartin,1,1
aburg_discuss,kardasiapat,1,1
achgut_com,baer_1948,1,1
achgut_com,bernd471,1,1
achgut_com,cassius_antonin,1,1
achgut_com,doktoryves,1,1
achgut_com,drthomasbruns,1,1
achgut_com,e_pitzky,1,1
achgut_com,gracias0815,1,1
achgut_com,hackenstad,1,1
achgut_com,henpre13,1,1
achgut_com,koshyda,1,1
achgut_com,mrstone0856,1,1
achgut_com,onymonymo,1,1
achgut_com,raimundraimund,1,1
achgut_com,savesoelse,1,1
achgut_com,snowcrash729,1,1
achgut_com,stonenews4,1,1
achgut_com,zac1967,1,1
achgut_com,zora_211212,1,1
adeutscherd,aadem105,1,1
adeutscherd,aazizkucuk,1,1
adeutscherd,ad_dnrw,1,1
adeutscherd,addemokratene,1,1
adeutscherd,ahmetme35021313,1,1
adeutscherd,alles_x,1,1
adeutscherd,arabtext,1,1
adeutscherd,aruremzi,1,1
adeutscherd,ayhanaydinli,1,1
adeutscherd,barbaros00600,1,1
adeutscherd,ber4ber,1,1
adeutscherd,bilaloezbek86,1,1
adeutscherd,bjkeli,1,1
adeutscherd,burgvogt_,1,1
adeutscherd,cahitkaya1,1,1
adeutscherd,cayelinden53,1,1
adeutscherd,cekiczcan,1,1
adeutscherd,cihad_senel,1,1
adeutscherd,cybermuhi,1,1
adeutscherd,danismend1453,1,1
adeutscherd,devilmaycry_911,1,1
adeutscherd,dilekmetin201,1,1
adeutscherd,erkanb01,1,1
adeutscherd,erkayip,1,1
adeutscherd,gng54,1,1
adeutscherd,hacibayramali,1,1
adeutscherd,haikoottmann,1,1
adeutscherd,halilertem67,1,1
adeutscherd,hasnain__kazim,1,1
adeutscherd,hi_erten,1,1
adeutscherd,hicabi7474,1,1
adeutscherd,hunnensturm,1,1
adeutscherd,ibotron,1,1
adeutscherd,ismailkaptan74,1,1
adeutscherd,kara_kaplan75,1,1
adeutscherd,kartalgakgo23,1,1
adeutscherd,kaykusuzh,1,1
adeutscherd,kbra1708,1,1
adeutscherd,l5050la,1,1
adeutscherd,leone1905,1,1
adeutscherd,levigoldmann,1,1
adeutscherd,m_gsaray,1,1
adeutscherd,maersoez,1,1
adeutscherd,mcluxw,1,1
adeutscherd,muhru_mirac_rt,1,1
adeutscherd,musaahi87333463,1,1
adeutscherd,nzn_66,1,1
adeutscherd,orhanseker,1,1
adeutscherd,osmanospower,1,1
adeutscherd,otziguru,1,1
adeutscherd,provomed,1,1
adeutscherd,ramazanakbas37,1,1
adeutscherd,remziaru,1,1
adeutscherd,rteakak74,1,1
adeutscherd,sahavet_avci,1,1
adeutscherd,secretspirit4,1,1
adeutscherd,seiim_aksoy,1,1
adeutscherd,sezermemlek,1,1
adeutscherd,sony0380,1,1
adeutscherd,tekswiller,1,1
adeutscherd,temucinbey,1,1
adeutscherd,the_kanaka,1,1
adeutscherd,tipsiz_tip,1,1
adeutscherd,tuwaengineering,1,1
adeutscherd,vatan_03,1,1
adeutscherd,xlavidaloca123,1,1
adeutscherd,yozgatlitayip66,1,1
adeutscherd,yussufcak,1,1
adiwilli,fdpkreisthun,1,1
admirallandwirt,checkafd,1,1
admirallandwirt,ottmar_neu,1,1
afd_bayern,anoliwassel,1,1
afd_bayern,antilinksgruen,1,1
afd_bayern,arrtrad,1,1
afd_bayern,bavaria1984,1,1
afd_bayern,bburgerin,1,1
afd_bayern,blaupfeil,1,1
afd_bayern,bwspezi,1,1
afd_bayern,carthag90184426,1,1
afd_bayern,causa953,1,1
afd_bayern,cayeen2,1,1
afd_bayern,cinco101,1,1
afd_bayern,cosyzoey,1,1
afd_bayern,daniel_91199,1,1
afd_bayern,danilaw63,1,1
afd_bayern,darkgermany,1,1
afd_bayern,deutschzuerst,1,1
afd_bayern,dieter_heil,1,1
afd_bayern,donfpjudgement,1,1
afd_bayern,efdlan,1,1
afd_bayern,egon_dorge,1,1
afd_bayern,elkesommerlich,1,1
afd_bayern,ericschwarz13,1,1
afd_bayern,eurekantigkeit,1,1
afd_bayern,fahrtwindt,1,1
afd_bayern,fivemilesin,1,1
afd_bayern,fk5270,1,1
afd_bayern,flengulu67,1,1
afd_bayern,franzenglert,1,1
afd_bayern,freierwaehler,1,1
afd_bayern,genauhinsehen,1,1
afd_bayern,glenda35197340,1,1
afd_bayern,gracias0815,1,1
afd_bayern,gunfunner,1,1
afd_bayern,hackenstad,1,1
afd_bayern,hamburgonline,1,1
afd_bayern,heidecks_burg,1,1
afd_bayern,hellernorden,1,1
afd_bayern,herbertkoenig,1,1
afd_bayern,hesti5759,1,1
afd_bayern,hsaulich3,1,1
afd_bayern,irene97652350,1,1
afd_bayern,isidormeyer1,1,1
afd_bayern,joffi_auf_,1,1
afd_bayern,karenkarl1,1,1
afd_bayern,kickouttheus,1,1
afd_bayern,klausdfrank,1,1
afd_bayern,koeterrasse45,1,1
afd_bayern,kpropcroy,1,1
afd_bayern,krippmarie,1,1
afd_bayern,landtag2018,1,1
afd_bayern,larissawalter5,1,1
afd_bayern,lc180666,1,1
afd_bayern,leslieardins,1,1
afd_bayern,lisowskykurt,1,1
afd_bayern,lordzentrum,1,1
afd_bayern,lursa2000,1,1
afd_bayern,mafakara2016,1,1
afd_bayern,malakaido,1,1
afd_bayern,michael__2018,1,1
afd_bayern,msmfun,1,1
afd_bayern,nawratanna,1,1
afd_bayern,no_windmill,1,1
afd_bayern,nrw_ja,1,1
afd_bayern,olquit,1,1
afd_bayern,pantau70847839,1,1
afd_bayern,peterbeta69,1,1
afd_bayern,pinomocciaro,1,1
afd_bayern,politik_zz,1,1
afd_bayern,rk94rene,1,1
afd_bayern,s_kubinec,1,1
afd_bayern,saldahna,1,1
afd_bayern,saulandreas,1,1
afd_bayern,schnauzevoll61,1,1
