Target,Source,n,Weight
___vogel,nicki100001,1,1
_hinck,j__ludwig,1,1
123blableh,123blableh,1,1
123blableh,eckhardt43,1,1
123blableh,fk5270,1,1
123blableh,hel16818132,1,1
123blableh,hohenelber,1,1
123blableh,joergius76,1,1
123blableh,kalenk666,1,1
123blableh,ksdpunkt,1,1
123blableh,lassunsnageln,1,1
123blableh,palma07001,1,1
123blableh,schafdas,2,2
123blableh,schussel40,1,1
123blableh,theodurst,1,1
123blableh,vonevi,1,1
123blableh,wundi68,1,1
1zu1_gedanken,_9boese9woelfin,1,1
1zu1_gedanken,danielberlin,1,1
1zu1_gedanken,duhugonotte,1,1
1zu1_gedanken,e_pitzky,3,3
1zu1_gedanken,f_von_steiner,1,1
1zu1_gedanken,gellis18,1,1
1zu1_gedanken,hartmut73,1,1
1zu1_gedanken,herrwaff,3,3
1zu1_gedanken,hotnakedlove,1,1
1zu1_gedanken,istambul_themen,4,4
1zu1_gedanken,peterhautnah,1,1
1zu1_gedanken,rosarioprange,1,1
1zu1_gedanken,thomasgoebel712,1,1
1zu1_gedanken,zickenalarm1900,3,3
5y5t3m_3rr0r,kommandomensch,1,1
66freedom66,___rene123,1,1
66freedom66,_9boese9woelfin,4,4
66freedom66,007michiko,1,1
66freedom66,0930uhr,4,4
66freedom66,123lenchen,3,3
66freedom66,16_joachim,5,5
66freedom66,1683er_wiener,1,1
66freedom66,1k585,1,1
66freedom66,67muellerpeter,1,1
66freedom66,7h3k3wb0rz,1,1
66freedom66,aam19aam,2,2
66freedom66,abc321xyblabla,1,1
66freedom66,aberhierleben,1,1
66freedom66,abonie58,2,2
66freedom66,adager365,4,4
66freedom66,adiamo999,1,1
66freedom66,adinqu,1,1
66freedom66,adriandanzker,1,1
66freedom66,aegisbridge,3,3
66freedom66,afca1900michel,1,1
66freedom66,afdtrischi,2,2
66freedom66,afgveteran,2,2
66freedom66,aforgomor,2,2
66freedom66,agentorange1980,1,1
66freedom66,agninussim,1,1
66freedom66,ahkaltenecker,1,1
66freedom66,ahnungslos17,2,2
66freedom66,aka_ganymed,1,1
66freedom66,alan_alannlane,9,9
66freedom66,albertothomas,1,1
66freedom66,alex13921861,1,1
66freedom66,aliceschmarotze,1,1
66freedom66,all4yournails,1,1
66freedom66,altern_inform,1,1
66freedom66,alvapetro,2,2
66freedom66,alzheimerultra,1,1
66freedom66,amnordheim1,1,1
66freedom66,amogermaniam,1,1
66freedom66,amrullah_tioneb,1,1
66freedom66,and_smartie,5,5
66freedom66,andre_ag2,1,1
66freedom66,andreag799,1,1
66freedom66,andreageiser2,1,1
66freedom66,andream32884623,2,2
66freedom66,andreaschlegel3,1,1
66freedom66,andreasguenth22,2,2
66freedom66,andrucha89,3,3
66freedom66,andy_sch16,1,1
66freedom66,angeldarkde,1,1
66freedom66,animodubitat,1,1
66freedom66,anitaalhelm,1,1
66freedom66,ankegashi,1,1
66freedom66,anna_dueker,1,1
66freedom66,anneschnuppi,6,6
66freedom66,anoliwassel,6,6
66freedom66,anomo70,1,1
66freedom66,antilinksgruen,1,1
66freedom66,aotearoa12345,1,1
66freedom66,apoll0x,1,1
66freedom66,appleoscar33,3,3
66freedom66,areisenberger,1,1
66freedom66,armofkremlin,1,1
66freedom66,arrtrad,1,1
66freedom66,artepmobil,10,10
66freedom66,artus121,3,3
66freedom66,aufdemlandleber,2,2
66freedom66,aufgewachtewelt,1,1
66freedom66,avalasek1,1,1
66freedom66,awayklein,2,2
66freedom66,awicke7,1,1
66freedom66,awp2015awp,2,2
66freedom66,axbo68,2,2
66freedom66,axel75657061,3,3
66freedom66,b__ocram,2,2
66freedom66,badenweiler1914,1,1
66freedom66,badmax999,1,1
66freedom66,bakkerroland,1,1
66freedom66,barrenschnorrer,1,1
66freedom66,bavaria1984,1,1
66freedom66,bburgerin,4,4
66freedom66,bea_drache,3,3
66freedom66,beate_bm,3,3
66freedom66,beltschazzara,1,1
66freedom66,ben_beuk,1,1
66freedom66,bernd200151,1,1
66freedom66,bernhardschnbe1,1,1
66freedom66,biggi811,2,2
66freedom66,billing_m,1,1
66freedom66,birdie51411736,3,3
66freedom66,blanksfam,2,2
66freedom66,blauatelier,1,1
66freedom66,blaue_rose_xxx,2,2
66freedom66,blauguck,1,1
66freedom66,bless0604,1,1
66freedom66,bleyjennifer,3,3
66freedom66,blockedwaves,3,3
66freedom66,bluebird1304,3,3
66freedom66,bluebirdrwa,1,1
66freedom66,boelscheline,1,1
66freedom66,boenasvoabo,1,1
66freedom66,boersende,1,1
66freedom66,bomba2h,5,5
66freedom66,bommel_73,4,4
66freedom66,bonobibi,1,1
66freedom66,bonsai68hh,4,4
66freedom66,brdwatch,1,1
66freedom66,briannalion7,1,1
66freedom66,brocknprime,1,1
66freedom66,brohead88,1,1
66freedom66,bruno_burzynski,1,1
66freedom66,brunofranzr,1,1
66freedom66,buchal_c,1,1
66freedom66,buntewelt1966,7,7
66freedom66,buranrudolf,2,2
66freedom66,buschfrank,1,1
66freedom66,bwtobibeng,1,1
66freedom66,bypaulapaula,1,1
66freedom66,c_m_4711,1,1
66freedom66,calibos1971,7,7
66freedom66,calypsos1960,1,1
66freedom66,cantatedominum,1,1
66freedom66,carlschroder1,1,1
66freedom66,carstenfrmel,1,1
66freedom66,cartejeune,1,1
66freedom66,cerysbailey2,1,1
66freedom66,cessymaus,1,1
66freedom66,check3000,1,1
66freedom66,checkafd,1,1
66freedom66,chewie4242,1,1
66freedom66,choolie211,1,1
66freedom66,chris_98763,4,4
66freedom66,chrismortuusiv,1,1
66freedom66,chrisselbst,1,1
66freedom66,christiin1,1,1
66freedom66,chungun88,1,1
66freedom66,chvoyage,6,6
66freedom66,cinco101,2,2
66freedom66,civitasinstitu,1,1
66freedom66,cjqwertty,1,1
66freedom66,clavelina18,1,1
66freedom66,clyde8081,2,2
66freedom66,clydevpg,1,1
66freedom66,cm2111,1,1
66freedom66,comazo2,3,3
66freedom66,connybub,2,2
66freedom66,connyro_bln,1,1
66freedom66,controlpanel16,3,3
66freedom66,cornelia_cagol,1,1
66freedom66,corneliacarcura,1,1
66freedom66,cosyzoey,2,2
66freedom66,criscgucci,2,2
66freedom66,critzebiakoffsk,1,1
66freedom66,cro_spock,2,2
66freedom66,crone_manuel,1,1
66freedom66,croqisunshine,2,2
66freedom66,cu_janina,1,1
66freedom66,cunoweiss,1,1
66freedom66,cusaid,1,1
66freedom66,d_dagets,1,1
66freedom66,danatoliyovich,2,2
66freedom66,daniel_91199,3,3
66freedom66,daniengel6,1,1
66freedom66,danilaw63,1,1
66freedom66,danmckay27,2,2
66freedom66,darkforces666,1,1
66freedom66,darwinsmutter,1,1
66freedom66,dasgertl,1,1
66freedom66,daspunkt,1,1
66freedom66,davidmc978,1,1
66freedom66,ddkchrista,1,1
66freedom66,dduric,2,2
66freedom66,dedododadeda,1,1
66freedom66,dee082018,1,1
66freedom66,denk_net_noch,2,2
66freedom66,der_wikinger_,1,1
66freedom66,dercodo,1,1
66freedom66,deredleritter,1,1
66freedom66,derelcon,1,1
66freedom66,derkritschejoe,1,1
66freedom66,derliuhvan,1,1
66freedom66,derpfahler,1,1
66freedom66,derzweifelnde,1,1
66freedom66,deutan3,2,2
66freedom66,deutsch_fritz,1,1
66freedom66,deutschlaender1,4,4
66freedom66,deutschland_77,1,1
66freedom66,deutschzuerst,8,8
66freedom66,dfitzchen,2,2
66freedom66,dfoid123,1,1
66freedom66,dieter_heil,2,2
66freedom66,dietrichgenig,1,1
66freedom66,dignity4allofus,1,1
66freedom66,dirad,1,1
66freedom66,dirk_pietzsch,1,1
66freedom66,dnebach_leon,1,1
66freedom66,doctorpuppe,1,1
66freedom66,dondimucci,1,1
66freedom66,donezk2014,1,1
66freedom66,donfpjudgement,3,3
66freedom66,donkurti1349,1,1
66freedom66,dr_drache3,1,1
66freedom66,drandrauf92,1,1
66freedom66,drthomasbruns,1,1
66freedom66,ducktap54400020,1,1
66freedom66,duhugonotte,5,5
66freedom66,dunkeldenk,1,1
66freedom66,e_pitzky,8,8
66freedom66,e2b_berlin,1,1
66freedom66,e2demi,1,1
66freedom66,ealanicnamara,1,1
66freedom66,ebobatcanaille,2,2
66freedom66,echtaetzend18,1,1
66freedom66,eckhardt43,5,5
66freedom66,edialekto,1,1
66freedom66,edkommusic,3,3
66freedom66,edwardbernd1,1,1
66freedom66,eeffektiv,2,2
66freedom66,efdlan,5,5
66freedom66,egon_dorge,3,3
66freedom66,egonwaluter,1,1
66freedom66,ein_lebender,1,1
66freedom66,einanalytiker,1,1
66freedom66,eintracht66,1,1
66freedom66,elektranatc,1,1
66freedom66,elfe08,1,1
66freedom66,elkelahl,3,3
66freedom66,elkepoley,1,1
66freedom66,elkesommerlich,1,1
66freedom66,ellecome222,3,3
66freedom66,ellibisathide,2,2
66freedom66,emiliac32,1,1
66freedom66,emilyvineyard2,1,1
66freedom66,emma_nzipiert,1,1
66freedom66,endedeskrieges,1,1
66freedom66,engelgert,3,3
66freedom66,eniende,1,1
66freedom66,entdeckevinland,1,1
66freedom66,eric94890721,1,1
66freedom66,ericschwarz13,3,3
66freedom66,ernst1953do,3,3
66freedom66,erutufniatpac,1,1
66freedom66,erz12,1,1
66freedom66,esmeraldatormez,1,1
66freedom66,esswe1202,5,5
66freedom66,estoylimpia,4,4
66freedom66,euer_amar,1,1
66freedom66,eugbach,2,2
66freedom66,eugenprinz3,1,1
66freedom66,eule24042076,1,1
66freedom66,euphra3,1,1
66freedom66,evelynspringer4,1,1
66freedom66,eventyrj,2,2
66freedom66,extra_portion,2,2
66freedom66,f_von_steiner,1,1
66freedom66,fahnenjunker69,1,1
66freedom66,fahrtwindt,1,1
66freedom66,faithno20425664,3,3
66freedom66,falklandfuchs,3,3
66freedom66,fatcatgermany,1,1
66freedom66,favoritarata,1,1
66freedom66,fckleft,2,2
66freedom66,fcmmicha1,2,2
66freedom66,fdeganis,1,1
66freedom66,feliciani84,1,1
66freedom66,felimaus99,2,2
66freedom66,fffrauki,3,3
66freedom66,ffritzsche2,2,2
66freedom66,fhessen1,3,3
66freedom66,fippchen,2,2
66freedom66,fischtown_ecker,1,1
66freedom66,fixula,1,1
66freedom66,fjordan1967,4,4
66freedom66,fk5270,3,3
66freedom66,fladdermues,1,1
66freedom66,flengulu67,7,7
66freedom66,flo_hamburg,1,1
66freedom66,flofloske,1,1
66freedom66,fluchtursache,1,1
66freedom66,framei75,5,5
66freedom66,frank_morsbach,1,1
66freedom66,frank14467,1,1
66freedom66,frankdraube,1,1
66freedom66,frankenzicke,1,1
66freedom66,frankschmidt5,1,1
66freedom66,frankwinterlich,1,1
66freedom66,frauabsurdistan,1,1
66freedom66,frauleinschi,1,1
66freedom66,fredfeuerst65,1,1
