Target,Source,n,Weight
___vogel,nicki100001,1,1
_hinck,_gauger,1,1
_hinck,j__ludwig,1,1
_hinck,traumschoen,1,1
123blableh,123blableh,1,1
123blableh,eckhardt43,1,1
123blableh,fk5270,1,1
123blableh,hel16818132,1,1
123blableh,hohenelber,1,1
123blableh,joergius76,1,1
123blableh,kalenk666,1,1
123blableh,ksdpunkt,1,1
123blableh,lassunsnageln,1,1
123blableh,palma07001,1,1
123blableh,schafdas,2,2
123blableh,schussel40,1,1
123blableh,theodurst,1,1
123blableh,vonevi,1,1
123blableh,wundi68,1,1
1zu1_gedanken,danielberlin,1,1
83crusher,fk5270,1,1
83crusher,yodelford,1,1
achgut_com,___vogel,1,1
achgut_com,abc321xyblabla,1,1
achgut_com,aletheia156,1,1
achgut_com,ankegashi,1,1
achgut_com,anneschnuppi,1,1
achgut_com,antilinksgruen,1,1
achgut_com,appleoscar33,1,1
achgut_com,audiozauber,1,1
achgut_com,bjoernvon,1,1
achgut_com,brink_holger,1,1
achgut_com,ch2ch2ch2ch2ch2,2,2
achgut_com,chris65110,1,1
achgut_com,citizenjw,1,1
achgut_com,clboy001,1,1
achgut_com,comazo2,1,1
achgut_com,croqisunshine,1,1
achgut_com,cusaid,1,1
achgut_com,deimos47,1,1
achgut_com,deutschzuerst,1,1
achgut_com,dieterzakel,1,1
achgut_com,differentnews,1,1
achgut_com,drthomasbruns,1,1
achgut_com,eckhardt43,1,1
achgut_com,eintausend254,1,1
achgut_com,engelgert,1,1
achgut_com,erlingplaethe,1,1
achgut_com,eventyrj,1,1
achgut_com,flo_hamburg,1,1
achgut_com,fraglich,1,1
achgut_com,frankyb122,1,1
achgut_com,fritzmichel,1,1
achgut_com,gefjonsgunst,1,1
achgut_com,gefrkamnitzer,1,1
achgut_com,gellis18,1,1
achgut_com,genauhinsehen,1,1
achgut_com,gertwalterwolf1,1,1
achgut_com,gisbornn1,1,1
achgut_com,glenda35197340,1,1
achgut_com,gracias0815,1,1
achgut_com,hardy_lark,1,1
achgut_com,hartzronny,1,1
achgut_com,heike_schultz,1,1
achgut_com,heinzfi91301626,1,1
achgut_com,huba___huba,2,2
achgut_com,jurgenpresser,1,1
achgut_com,kaboom1776,1,1
achgut_com,karstenpater,1,1
achgut_com,koshyda,1,1
achgut_com,kottem1,1,1
achgut_com,libelle2000r,1,1
achgut_com,linhaar,2,2
achgut_com,m_mittiri,1,1
achgut_com,maggielein_,1,1
achgut_com,mamekudz,1,1
achgut_com,manewu101,1,1
achgut_com,markbat1,1,1
achgut_com,marty27,1,1
achgut_com,maxxbikede,1,1
achgut_com,mayday18568706,1,1
achgut_com,megatwingo,1,1
achgut_com,meinmittelstand,1,1
achgut_com,michael_leh,1,1
achgut_com,michaimpress,1,1
achgut_com,michalocalpixel,1,1
achgut_com,mister_az,1,1
achgut_com,molt96,1,1
achgut_com,mrstone0856,2,2
achgut_com,niemieckapolity,1,1
achgut_com,proteus93484191,1,1
achgut_com,r3alrad1o,1,1
achgut_com,raimundraimund,1,1
achgut_com,regenbeobachter,1,1
achgut_com,renepeitz,1,1
achgut_com,rivanov5,1,1
achgut_com,robmey123,1,1
achgut_com,roland783,1,1
achgut_com,ruthlissy,1,1
achgut_com,schneeridara,1,1
achgut_com,silesiusbrack,1,1
achgut_com,sokraton,1,1
achgut_com,somext,1,1
achgut_com,thor200375,1,1
achgut_com,tiffy052,1,1
achgut_com,uveschu,1,1
achgut_com,zwilling_i,1,1
adamag_de,autonomie_mag,1,1
adamag_de,thomasweymann,1,1
admirallandwirt,checkafd,1,1
admirallandwirt,ottmar_neu,1,1
aethonaia,therenewall,1,1
af_will,frau_al3x,1,1
af_will,gefrkamnitzer,1,1
af_will,jenshagen12,1,1
af_will,leo27027232,1,1
af_will,madamejosette,1,1
af_will,mangoldhist,1,1
af_will,somext,1,1
af_will,ursula_prem,1,1
afd_fraktion_sh,proteus93484191,1,1
afd_hd,123lenchen,1,1
afd_hd,93cecc58ff2e400,1,1
afd_hd,afd_thueringen,1,1
afd_hd,antilinksgruen,1,1
afd_hd,artepmobil,1,1
afd_hd,asdeli01,1,1
afd_hd,aufdemlandleber,1,1
afd_hd,awp2015awp,1,1
afd_hd,bernddemol,1,1
afd_hd,birdie51411736,1,1
afd_hd,blaue_rose_xxx,1,1
afd_hd,blickinsleere,1,1
afd_hd,colincogs,1,1
afd_hd,cunoweiss,1,1
afd_hd,cybercrusader14,1,1
afd_hd,danmckay27,1,1
afd_hd,efdlan,1,1
afd_hd,ellibisathide,1,1
afd_hd,fjordan1967,1,1
afd_hd,frag_dietrun,1,1
afd_hd,frauendinge,1,1
afd_hd,frosch5775,1,1
afd_hd,gertwalterwolf1,1,1
afd_hd,grazywalking,1,1
afd_hd,guidodietel,1,1
afd_hd,gunfunner,1,1
afd_hd,hamburgerdeern4,1,1
afd_hd,hotnakedlove,1,1
afd_hd,jekra70,1,1
afd_hd,jimbeam667,1,1
afd_hd,joschua23,1,1
afd_hd,kathimaus3,1,1
afd_hd,kossonosow,1,1
afd_hd,kritischerkreis,1,1
afd_hd,maus_shila,1,1
afd_hd,mic_eff,1,1
afd_hd,mj_jm_m_j,1,1
afd_hd,muc_stephan,1,1
afd_hd,nanniag,1,1
afd_hd,nottrvanottr,1,1
afd_hd,peidami,1,1
afd_hd,pepper46477330,1,1
afd_hd,pol_inkorrekter,1,1
afd_hd,primus5390,1,1
afd_hd,psmd_info,1,1
afd_hd,puffyka81,1,1
afd_hd,ralficb,1,1
afd_hd,s_muenzenmaier,1,1
afd_hd,shraddar,1,1
afd_hd,skyman934,1,1
afd_hd,sookies_13,1,1
afd_hd,stefanulrich56,1,1
afd_hd,terrysolo,1,1
afd_hd,thomasgbauer,1,1
afd_hd,tomtomturnround,1,1
afd_hd,vanberlichingen,1,1
afd_hd,volldanben,1,1
afd_hd,wattesprech,1,1
afd_hd,ziccol,1,1
afd_ik_gth,afd_thueringen,1,1
afd_ik_gth,rolando_1_2,1,1
aka_ganymed,dergelbestrich,1,1
alexjahns,kiezmelange,1,1
alexjahns,m_obendorfer,1,1
alexjahns,stevenhartig,1,1
alexwalter_ga,amueller2503,1,1
alimiragha,2martens,1,1
amazzeppa,fabubaldinrente,1,1
ameis_e,hudsonbln,1,1
andrezeven,chvoyage,1,1
andrezeven,koshyda,1,1
andrezeven,schafdas,1,1
andrezeven,uveschu,1,1
anetteschultner,annetteuka,1,1
anetteschultner,familienforum,1,1
anetteschultner,langguthalex,1,1
ankehoffnung,13fb047,1,1
ankehoffnung,420widrick,1,1
ankehoffnung,colimafri,1,1
ankehoffnung,diggadugger,1,1
ankehoffnung,inurmalso,1,1
ankehoffnung,janosch16665,1,1
ankehoffnung,jmxmertens,1,1
ankehoffnung,laguja44,1,1
ankehoffnung,mankra1,1,1
ankehoffnung,mlebeauf,1,1
ankehoffnung,tyramizou,1,1
aotearoa12345,aotearoa12345,1,1
aquinate2,achimw,1,1
aquinate2,afd_ge,2,2
aquinate2,andena_,1,1
aquinate2,andrewroussak,1,1
aquinate2,diebajuwaren,1,1
aquinate2,elfiold,1,1
aquinate2,engelgert,1,1
aquinate2,fliegenpils,1,1
aquinate2,gegenkinderehen,2,2
aquinate2,gisbornn1,1,1
aquinate2,jens_streubel,1,1
aquinate2,jimbeam667,1,1
aquinate2,kdkkoeln,2,2
aquinate2,kigallus,1,1
aquinate2,lc180666,1,1
aquinate2,leo27027232,1,1
aquinate2,matthias_kt,1,1
aquinate2,matthiasbwagner,1,1
aquinate2,melanie_bert,2,2
aquinate2,molt96,1,1
aquinate2,momo_skipper2,1,1
aquinate2,monettenom,1,1
aquinate2,mrstone0856,1,1
aquinate2,msyakuza,1,1
aquinate2,nowakberlin,2,2
aquinate2,oemmes_77,1,1
aquinate2,raist0815,1,1
aquinate2,saulandreas,1,1
aquinate2,spiritrotk,1,1
aquinate2,tartilleri,1,1
aquinate2,terrabyte1973,1,1
aquinate2,thomasb82609333,1,1
aquinate2,thueringen_,1,1
aquinate2,udohemmelgarn,1,1
aquinate2,vinalfano,1,1
aquinate2,willrosenblatt,1,1
aufklaerer2017,adager365,1,1
aufklaerer2017,afd_ov_bew,1,1
aufklaerer2017,andreasguenth22,1,1
aufklaerer2017,ankegashi,2,2
aufklaerer2017,axorcreex,1,1
aufklaerer2017,birdie51411736,1,1
aufklaerer2017,bjoernvon,1,1
aufklaerer2017,calibos1971,1,1
aufklaerer2017,cassandralipsia,1,1
aufklaerer2017,chrisspkoeln,1,1
aufklaerer2017,daniel_91199,1,1
aufklaerer2017,darkgermany,1,1
aufklaerer2017,deka_denz,1,1
aufklaerer2017,deutschland_77,1,1
aufklaerer2017,deutschzuerst,1,1
aufklaerer2017,didiuhde1,1,1
aufklaerer2017,do_nut_nie,2,2
aufklaerer2017,donkurti1349,1,1
aufklaerer2017,farliemc,1,1
aufklaerer2017,fhhffghj,1,1
aufklaerer2017,fluesterwitz,1,1
aufklaerer2017,fraglich,1,1
aufklaerer2017,frankenland90,1,1
aufklaerer2017,gertwalterwolf1,1,1
aufklaerer2017,gracias0815,1,1
aufklaerer2017,halegga1,1,1
aufklaerer2017,harryschloemer,1,1
aufklaerer2017,hartzronny,1,1
aufklaerer2017,hin_ter_frag_er,1,1
aufklaerer2017,hyronimuslotter,1,1
aufklaerer2017,ibikus31,1,1
aufklaerer2017,indeed_patriot,1,1
aufklaerer2017,issn81,1,1
aufklaerer2017,jenshagen12,2,2
