Target,Source,n,Weight
_amaz1ng,jinksche,1,1
_amaz1ng,kenguru_anmr,1,1
_amaz1ng,pets4cats,1,1
_amaz1ng,tumalwas,1,1
_demokratie,rstrohmi,1,1
_hinck,_gauger,1,1
_hinck,j__ludwig,1,1
_hinck,traumschoen,1,1
_kieselstein,_kieselstein,9,9
_kieselstein,ferkelfabrikat,1,1
_kieselstein,kommandomensch,2,2
_kieselstein,mokomokai,1,1
_kieselstein,pistole7763,1,1
_kieselstein,sona24de,2,2
_ruethschilling,_ruethschilling,1,1
_sakrosankt,hamburgonline,1,1
_sakrosankt,renft1964,1,1
_takakun,akress84,1,1
_takakun,beatekiefner,2,2
_takakun,ceglarm,1,1
_takakun,dkluever,1,1
_takakun,elzpiraten,1,1
_takakun,frecklesfairy,1,1
_takakun,jaquearnoux,2,2
_takakun,jpruehmann,1,1
_takakun,klickmichi,1,1
_takakun,macst3r,1,1
_takakun,marcomausf,1,1
_takakun,meldrian1986,1,1
_takakun,mr_wartung,1,1
_takakun,mrtnschn,1,1
_takakun,pirat_kristos,1,1
_takakun,piratengetweete,1,1
_takakun,piratenkoeln,1,1
_takakun,piratenlily,1,1
_takakun,piratenpartei,1,1
_takakun,piratmainbrain,1,1
_takakun,rightofparley,1,1
_takakun,stefan_urbat,1,1
_takakun,stormchild3,1,1
_takakun,superbatterie,1,1
_takakun,the_true_titan,1,1
_takakun,vorstand_ef,1,1
_takakun,zepar___,1,1
123blableh,123blableh,1,1
123blableh,aegisbridge,1,1
123blableh,eckhardt43,1,1
123blableh,erwinhuber11,1,1
123blableh,fk5270,1,1
123blableh,heinzsc51846951,1,1
123blableh,hel16818132,1,1
123blableh,hohenelber,1,1
123blableh,joergius76,1,1
123blableh,jstaltenberg,1,1
123blableh,kalenk666,1,1
123blableh,karamallemalle,1,1
123blableh,ksdpunkt,1,1
123blableh,lassunsnageln,1,1
123blableh,merkel_stuerzen,1,1
123blableh,palma07001,1,1
123blableh,pluszeit,1,1
123blableh,schafdas,5,5
123blableh,schussel40,1,1
123blableh,sober43785665,1,1
123blableh,theodurst,1,1
123blableh,volkswaechter,1,1
123blableh,vonevi,1,1
123blableh,wundi68,1,1
3mausimhaus,deroadie,1,1
3mausimhaus,laetacara,1,1
3mausimhaus,rickj78,1,1
3te_generation,ludmylafranca,1,1
3te_generation,ostwestkonflikt,1,1
3te_generation,vonbuehlau,1,1
3te_generation,wiechatzek,1,1
